episodeID,colorID
EID1,"[COL18, COL2, COL4, COL12, COL13, COL14, COL15, COL16]"
EID2,"[COL18, COL2, COL4, COL12, COL13, COL14, COL15, COL16]"
EID3,"[COL18, COL1, COL2, COL4, COL12, COL13, COL14, COL15, COL16]"
EID4,"[COL13, COL15, COL16]"
EID5,"[COL18, COL2, COL4, COL12, COL13, COL14, COL15, COL16]"
EID6,"[COL1, COL13, COL15, COL16]"
EID7,"[COL18, COL2, COL4, COL12, COL13, COL14, COL15, COL16]"
EID8,"[COL18, COL2, COL4, COL12, COL13, COL14, COL15, COL16]"
EID9,"[COL18, COL2, COL4, COL12, COL13, COL14, COL15, COL16]"
EID10,"[COL18, COL2, COL4, COL12, COL13, COL14, COL15, COL16]"
EID11,"[COL18, COL2, COL4, COL12, COL13, COL14, COL15, COL16]"
EID12,"[COL18, COL13, COL15, COL16]"
EID13,"[COL18, COL2, COL4, COL12, COL13, COL14, COL15, COL16]"
EID14,"[COL18, COL2, COL3, COL4, COL7, COL11, COL12, COL13, COL14, COL15, COL16, COL17]"
EID15,"[COL18, COL2, COL3, COL4, COL7, COL11, COL12, COL13, COL14, COL15, COL16, COL17]"
EID16,"[COL18, COL1, COL2, COL3, COL4, COL7, COL11, COL12, COL13, COL14, COL15, COL16, COL17]"
EID17,"[COL13, COL15, COL16]"
EID18,"[COL18, COL2, COL3, COL4, COL11, COL12, COL13, COL14, COL15, COL16, COL17]"
EID19,"[COL18, COL2, COL3, COL4, COL11, COL12, COL13, COL14, COL15, COL16, COL17]"
EID20,"[COL18, COL2, COL3, COL4, COL11, COL12, COL13, COL14, COL15, COL16, COL17]"
EID21,"[COL18, COL2, COL3, COL4, COL7, COL11, COL12, COL13, COL14, COL15, COL16, COL17]"
EID22,"[COL18, COL1, COL2, COL4, COL7, COL11, COL12, COL13, COL14, COL15, COL16, COL17]"
EID23,"[COL18, COL2, COL3, COL4, COL7, COL11, COL12, COL13, COL14, COL15, COL16, COL17]"
EID24,"[COL18, COL1, COL3, COL4, COL7, COL11, COL12, COL13, COL14, COL15, COL16, COL17]"
EID25,"[COL18, COL2, COL3, COL4, COL7, COL11, COL12, COL13, COL14, COL15, COL16, COL17]"
EID26,"[COL18, COL2, COL3, COL4, COL7, COL11, COL12, COL13, COL14, COL15, COL16, COL17]"
EID27,"[COL18, COL2, COL3, COL4, COL7, COL11, COL12, COL13, COL14, COL15, COL16, COL17]"
