episodeID, SubjectID
EID1,"[SUB8,SUB17,SUB28,SUB49,SUB59,SUB60]"
EID2,"[SUB9,SUB14,SUB15,SUB38,SUB52,SUB53,SUB59,SUB60,SUB66]"
EID3,"[SUB9,SUB15,SUB22,SUB38,SUB39,SUB56,SUB57,SUB59,SUB60,SUB66]"
EID4,"[SUB8,SUB14,SUB15,SUB33,SUB38,SUB53,SUB59,SUB60]"
EID5,"[SUB17,SUB49,SUB50,SUB59,SUB60]"
EID6,"[SUB9,SUB15,SUB33,SUB37,SUB38,SUB39,SUB40,SUB52,SUB53,SUB56,SUB59,SUB60,SUB66]"
EID7,"[SUB17,SUB33,SUB38,SUB39,SUB53,SUB59,SUB60]"
EID8,"[SUB8,SUB15,SUB33,SUB38,SUB39,SUB59,SUB60]"
EID9,"[SUB4,SUB14,SUB22,SUB41]"
EID10,"[SUB8,SUB15,SUB17,SUB33,SUB38,SUB59,SUB60]"
EID11,"[SUB17,SUB33,SUB59,SUB60]"
EID12,"[SUB12,SUB14,SUB15,SUB33,SUB38,SUB39,SUB53,SUB59,SUB60]"
EID13,"[SUB8,SUB15,SUB17,SUB28,SUB38,SUB53,SUB59,SUB60]"
EID14,"[SUB8,SUB15,SUB16,SUB17,SUB28,SUB33,SUB38,SUB53,SUB59,SUB60]"
EID15,"[SUB15,SUB33,SUB52,SUB57,SUB59,SUB60]"
EID16,"[SUB14,SUB16,SUB17,SUB41,SUB57,SUB59,SUB60,SUB63]"
EID17,"[SUB8,SUB9,SUB14,SUB15,SUB16,SUB17,SUB33,SUB38,SUB39,SUB52,SUB53,SUB56,SUB59,SUB60]"
EID18,"[SUB8,SUB17,SUB28,SUB33,SUB59,SUB60]"
EID19,"[SUB8,SUB14,SUB16,SUB17,SUB28,SUB49,SUB59,SUB60]"
EID20,"[SUB14,SUB15,SUB16,SUB28,SUB33,SUB38,SUB39,SUB59,SUB60]"
EID21,"[SUB8,SUB12,SUB14,SUB15,SUB33,SUB38,SUB53,SUB59,SUB60]"
EID22,"[SUB12,SUB16,SUB17,SUB41,SUB50,SUB57,SUB59,SUB60,SUB63]"
EID23,"[SUB17,SUB28,SUB49,SUB59,SUB60]"
EID24,"[SUB8,SUB14,SUB15,SUB16,SUB17,SUB28,SUB49,SUB50,SUB59,SUB60,SUB62]"
EID25,"[SUB17,SUB28,SUB33,SUB38,SUB39,SUB53,SUB59,SUB60,SUB62]"
EID26,"[SUB8,SUB14,SUB15,SUB16,SUB33,SUB38,SUB39,SUB53,SUB59,SUB60]"
EID27,"[SUB8,SUB9,SUB15,SUB17,SUB33,SUB38,SUB39,SUB56,SUB59,SUB60]"
EID28,"[SUB14,SUB16,SUB37,SUB40,SUB41,SUB43,SUB59,SUB60,SUB63]"
EID29,"[SUB17,SUB28,SUB49,SUB50,SUB59,SUB60]"
EID30,"[SUB9,SUB15,SUB52,SUB56,SUB59,SUB60,SUB66]"
EID31,"[SUB12,SUB14,SUB15,SUB17,SUB32,SUB33,SUB38,SUB39,SUB59,SUB60]"
EID32,"[SUB6,SUB17,SUB44,SUB56,SUB59,SUB60]"
EID33,"[SUB17,SUB33,SUB38,SUB39,SUB59,SUB60]"
EID34,"[SUB13,SUB14,SUB16,SUB35,SUB40,SUB41,SUB56,SUB63]"
EID35,"[SUB8,SUB9,SUB14,SUB16,SUB17,SUB36,SUB49,SUB56,SUB59,SUB60]"
EID36,"[SUB8,SUB17,SUB23,SUB33,SUB45,SUB59,SUB60]"
EID37,"[SUB3,SUB17,SUB22,SUB33,SUB56,SUB59,SUB60]"
EID38,"[SUB8,SUB15,SUB17,SUB33,SUB38,SUB39,SUB59,SUB60]"
EID39,"[SUB14,SUB15,SUB16,SUB17,SUB29,SUB33,SUB38,SUB53,SUB55,SUB59,SUB60]"
EID40,"[SUB9,SUB15,SUB33,SUB52,SUB56,SUB59,SUB60,SUB66]"
EID41,"[SUB8,SUB14,SUB16,SUB17,SUB28,SUB33,SUB38,SUB39,SUB59,SUB60]"
EID42,"[SUB8,SUB15,SUB28,SUB38,SUB39,SUB53,SUB59,SUB60]"
EID43,"[SUB9,SUB11,SUB14,SUB15,SUB16,SUB17,SUB27,SUB29,SUB33,SUB52,SUB56,SUB59,SUB60,SUB66]"
EID44,"[SUB4,SUB13,SUB14,SUB15,SUB16,SUB41,SUB50,SUB59,SUB60,SUB63]"
EID45,"[SUB8,SUB17,SUB33,SUB59,SUB60]"
EID46,"[SUB9,SUB17,SUB28,SUB44,SUB56,SUB59,SUB60]"
EID47,"[SUB15,SUB17,SUB28,SUB33,SUB59,SUB60]"
EID48,"[SUB8,SUB14,SUB15,SUB33,SUB38,SUB39,SUB53,SUB59,SUB60]"
EID49,"[SUB8,SUB15,SUB28,SUB49,SUB59,SUB60]"
EID50,"[SUB14,SUB15,SUB16,SUB18,SUB29,SUB38,SUB39,SUB53,SUB59,SUB60]"
EID51,"[SUB17,SUB28,SUB32,SUB33,SUB59,SUB60]"
EID52,"[SUB15,SUB28,SUB33,SUB38,SUB53,SUB59]"
EID53,"[SUB8,SUB14,SUB15,SUB16,SUB33,SUB38,SUB39,SUB53,SUB59,SUB60,SUB62]"
EID54,"[SUB14,SUB16,SUB17,SUB28,SUB33,SUB59,SUB60]"
EID55,"[SUB15,SUB25,SUB29,SUB38,SUB39,SUB52,SUB53,SUB59,SUB60]"
EID56,"[SUB15,SUB17,SUB33,SUB52,SUB59,SUB60,SUB66]"
EID57,"[SUB17,SUB28,SUB33,SUB59,SUB60]"
