EpisodeID,TITLE, AIRDATE
EID1,A Walk in the Woods, January 11 1983
EID2,Mount McKinley, January 11 1983
EID3,Ebony Sunset, January 18 1983
EID4,Winter Mist, January 25 1983
EID5,Quiet Stream, February 1 1983
EID6,Winter Moon, February 8 1983
EID7,Autumn Mountains, February 15 1983
EID8,Peaceful Valley, February 22 1983
EID9,Seascape, March 1 1983
EID10,Mountain Lake, March 8 1983
EID11,Winter Glow, March 15 1983
EID12,Snowfall, March 22 1983
EID13,Final Reflections, March 29 1983
EID14,Meadow Lake, August 31 1983
EID15,Winter Sun, September 7 1983
EID16,Ebony Sea, September 14 1983
EID17,Shades of Gray, September 21 1983
EID18,Autumn Splendor, September 28 1983
EID19,Black River, October 5 1983
EID20,Brown Mountain, October 12 1983
EID21,Reflections, October 19 1983
EID22,Black & White Seascape, October 26 1983
EID23,Lazy River, November 2 1983
EID24,Black Waterfall, November 9 1983
EID25,Mountain Waterfall, November 16 1983
EID26,Final Grace, November 23 1983
EID27,Mountain Retreat, January 4 1984
EID28,Blue Moon, January 11 1984
EID29,Bubbling Stream, January 18 1984
EID30,Winter Night, January 25 1984
EID31,Distant Hills, February 1 1984
EID32,Covered Bridge, February 8 1984
EID33,Quiet Inlet, February 15 1984
EID34,Night Light, February 22 1984
EID35,The Old Mill, March 1 1984
EID36,Campfire, March 8 1984
EID37,Rustic Barn, March 15 1984
EID38,Hidden Lake, March 22 1984
EID39,Peaceful Waters, March 29 1984
EID40,Purple Splendor, September 5 1984
EID41,Tranquil Valley, September 12 1984
EID42,Majestic Mountains, September 19 1984
EID43,Winter Sawscape, September 26 1984
EID44,Evening Seascape, October 3 1984
EID45,Warm Summer Day, October 10 1984
EID46,Cabin in the Woods, October 17 1984
EID47,Wetlands, October 24 1984
EID48,Cool Waters, October 31 1984
EID49,Quiet Woods, November 7 1984
EID50,Northwest Majesty, November 14 1984
EID51,Autumn Days, November 21 1984
EID52,Mountain Challenge, November 28 1984
EID53,Mountain Waterfall, January 2 1985
EID54,Twilight Meadow, January 9 1985
EID55,Mountain Blossoms, January 16 1985
EID56,Winter Stillness, January 23 1985
EID57,Quiet Pond, January 30 1985
EID58,Ocean Sunrise, February 6 1985 Special guest Audrey Golden
EID59,Bubbling Brook, February 13 1985
EID60,Arizona Splendor, February 20 1985
EID61,Anatomy of a Wave, February 27 1985 Special guest Joyce Ortner
EID62,The Windmill, March 6 1985
EID63,Autumn Glory, March 13 1985
EID64,Indian Girl, March 20 1985
EID65,Meadow Stream, March 27 1985
EID66,Blue River, May 1 1985
EID67,Nature's Edge, May 8 1985
EID68,Morning Mist, May 15 1985
EID69,Whispering Stream, May 22 1985
EID70,Secluded Forest, May 29 1985
EID71,Snow Trail, June 5 1985
EID72,Arctic Beauty, June 12 1985
EID73,Horizons West, June 19 1985
EID74,High Chateau, June 26 1985
EID75,Country Life, July 2 1985
EID76,Western Expanse, July 9 1985
EID77,Marshlands, July 16 1985
EID78,Blaze of Color, July 23 1985
EID79,Winter Cabin, October 2 1985
EID80,Secluded Lake, October 9 1985
EID81,Evergreen at Sunset, October 16 1985
EID82,Mountain Cabin, October 23 1985
EID83,Portrait of Sally, October 30 1985
EID84,Misty Waterfall, November 6 1985
EID85,Barn at Sunset, November 13 1985
EID86,Mountain Splendor, November 20 1985
EID87,Lake by Mountain, November 27 1985
EID88,Mountain Glory, December 6 1985
EID89,Grey Winter, December 13 1985
EID90,Dock Scene, December 20 1985
EID91,Dark Waterfall, December 27 1985
EID92,Misty Rolling Hills, January 2 1986
EID93,Lakeside Cabin, January 9 1986
EID94,Warm Winter Day, January 16 1986
EID95,Waterside Way, January 23 1986
EID96,Hunter's Haven, January 30 1986
EID97,Bubbling Mountain Brook, February 6 1986
EID98,Winter Hideaway, February 13 1986
EID99,Foot of the Mountain, February 20 1986
EID100,Majestic Pine, February 27 1986
EID101,Cactus at Sunset, March 6 1986
EID102,Mountain Range, March 13 1986
EID103,Lonely Retreat, March 20 1986
EID104,Northern Lights, March 27 1986
EID105,Winter Evergreens, April 30 1986
EID106,Surf's Up, May 7 1986
EID107,Red Sunset, May 14 1986
EID108,Meadow Road, May 21 1986
EID109,Winter Oval, May 28 1986
EID110,Secluded Beach, June 4 1986
EID111,Forest Hills, June 11 1986
EID112,Little House by the Road, June 18 1986
EID113,Mountain Pass, June 25 1986
EID114,Country Charm, July 2 1986
EID115,Nature's Paradise, July 9 1986
EID116,Mountain by the Sea, July 16 1986
EID117,Mountain Hideaway, July 23 1986
EID118,Towering Peaks, September 3 1986
EID119,Cabin at Sunset, September 10 1986
EID120,Twin Falls, September 17 1986
EID121,Secluded Bridge, September 24 1986
EID122,Ocean Breeze, October 1 1986
EID123,Autumn Woods, October 8 1986
EID124,Winter Solitude, October 15 1986
EID125,Golden Sunset, October 22 1986
EID126,Mountain Oval, October 29 1986
EID127,Ocean Sunset, November 5 1986
EID128,Triple View, November 12 1986
EID129,Winter Frost, November 19 1986
EID130,Lakeside Cabin, November 26 1986
EID131,Mountain Stream, December 31 1986
EID132,Country Cabin, January 7 1987
EID133,Daisy Delight, January 14 1987
EID134,Hidden Stream, January 21 1987
EID135,Towering Glacier, January 28 1987
EID136,Oval Barn, February 4 1987
EID137,Lakeside Path, February 11 1987
EID138,Sunset Oval, February 18 1987
