episodeID,colorID
EID2,"[18, 2, 4, 12, 13, 14, 15, 16]"
EID3,"[18, 2, 4, 12, 13, 14, 15, 16]"
EID4,"[18, 1, 2, 4, 12, 13, 14, 15, 16]"
EID5,"[13, 15, 16]"
EID6,"[18, 2, 4, 12, 13, 14, 15, 16]"
EID7,"[1, 13, 15, 16]"
EID8,"[18, 2, 4, 12, 13, 14, 15, 16]"
EID9,"[18, 2, 4, 12, 13, 14, 15, 16]"
EID10,"[18, 2, 4, 12, 13, 14, 15, 16]"
EID11,"[18, 2, 4, 12, 13, 14, 15, 16]"
EID12,"[18, 2, 4, 12, 13, 14, 15, 16]"
EID13,"[18, 13, 15, 16]"
EID14,"[18, 2, 4, 12, 13, 14, 15, 16]"
EID15,"[18, 2, 3, 4, 7, 11, 12, 13, 14, 15, 16, 17]"
EID16,"[18, 2, 3, 4, 7, 11, 12, 13, 14, 15, 16, 17]"
EID17,"[18, 1, 2, 3, 4, 7, 11, 12, 13, 14, 15, 16, 17]"
EID18,"[13, 15, 16]"
EID19,"[18, 2, 3, 4, 11, 12, 13, 14, 15, 16, 17]"
EID20,"[18, 2, 3, 4, 11, 12, 13, 14, 15, 16, 17]"
EID21,"[18, 2, 3, 4, 11, 12, 13, 14, 15, 16, 17]"
EID22,"[18, 2, 3, 4, 7, 11, 12, 13, 14, 15, 16, 17]"
EID23,"[18, 1, 2, 4, 7, 11, 12, 13, 14, 15, 16, 17]"
EID24,"[18, 2, 3, 4, 7, 11, 12, 13, 14, 15, 16, 17]"
EID25,"[18, 1, 3, 4, 7, 11, 12, 13, 14, 15, 16, 17]"
EID26,"[18, 2, 3, 4, 7, 11, 12, 13, 14, 15, 16, 17]"
EID27,"[18, 2, 3, 4, 7, 11, 12, 13, 14, 15, 16, 17]"
EID28,"[18, 2, 3, 4, 7, 11, 12, 13, 14, 15, 16, 17]"
EID29,"[18, 2, 3, 4, 7, 11, 12, 13, 14, 15, 16, 17]"
EID30,"[18, 2, 3, 4, 7, 11, 12, 13, 14, 15, 16, 17]"
EID31,"[18, 2, 4, 8, 12, 15, 16]"
EID32,"[18, 3, 4, 14, 15, 16, 17]"
EID33,"[18, 2, 3, 4, 10, 13, 14, 15, 16, 17]"
EID34,"[18, 3, 4, 11, 12, 13, 14, 15, 16, 17]"
EID35,"[18, 1, 3, 4, 12, 14, 15, 16, 17]"
EID36,"[18, 2, 3, 4, 11, 13, 14, 15, 16, 17]"
EID37,"[18, 1, 2, 3, 4, 7, 16, 17]"
EID38,"[18, 2, 3, 4, 7, 11, 12, 13, 14, 15, 16, 17]"
EID39,"[18, 2, 3, 4, 11, 13, 14, 15, 16, 17]"
EID40,"[18, 4, 11, 12, 13, 14, 15, 16, 17]"
EID41,"[18, 11, 15, 16]"
EID42,"[18, 2, 3, 4, 7, 11, 14, 15, 16, 17]"
EID43,"[18, 2, 3, 4, 7, 11, 12, 13, 14, 15, 16, 17]"
EID44,"[1, 2, 3, 4, 10, 13, 15]"
EID45,"[18, 1, 2, 3, 4, 11, 12, 13, 15, 16]"
EID46,"[18, 2, 3, 4, 7, 11, 13, 14, 15, 16, 17]"
EID47,"[18, 2, 3, 4, 7, 11, 12, 14, 15, 16, 17]"
EID48,"[18, 2, 3, 4, 7, 13, 14, 15, 16, 17]"
EID49,"[18, 2, 3, 4, 7, 11, 12, 13, 14, 15, 16, 17]"
EID50,"[18, 2, 3, 4, 7, 11, 12, 14, 15, 16, 17]"
EID51,"[18, 2, 3, 4, 7, 8, 13, 14, 15, 16]"
EID52,"[18, 2, 3, 4, 7, 11, 12, 13, 14, 15, 16, 17]"
EID53,"[18, 4, 7, 11, 12, 13, 14, 15, 16, 17]"
EID54,"[18, 2, 3, 4, 7, 11, 12, 14, 15, 16, 17]"
EID55,"[18, 1, 2, 3, 4, 7, 11, 12, 14, 15, 16, 17]"
EID56,"[18, 8, 11, 12, 15]"
EID57,"[18, 3, 7, 11, 14, 15, 16]"
EID58,"[18, 2, 3, 4, 7, 11, 14, 15, 16, 17]"
EID59,"[18, 7, 8, 13, 15, 16]"
EID60,"[18, 2, 3, 4, 7, 11, 14, 15, 16, 17]"
EID61,"[18, 3, 4, 7, 11, 14, 15, 16, 17]"
EID62,"[18, 4, 9, 11, 12, 15]"
EID63,"[18, 1, 2, 3, 11, 12, 13, 14, 15, 16, 17]"
EID64,"[18, 3, 4, 7, 13, 14, 15, 16]"
EID65,"[2, 3, 7, 13, 15]"
EID66,"[18, 2, 3, 4, 7, 11, 12, 14, 15, 16, 17]"
EID67,"[18, 1, 2, 3, 4, 7, 11, 13, 14, 15, 16, 17]"
EID68,"[18, 2, 3, 4, 7, 11, 13, 14, 15, 16, 17]"
EID69,"[18, 2, 3, 4, 7, 11, 14, 15, 16, 17]"
EID70,"[18, 2, 3, 4, 7, 11, 13, 14, 15, 16, 17]"
EID71,"[18, 1, 2, 3, 4, 7, 11, 12, 14, 15, 16, 17]"
EID72,"[18, 3, 4, 11, 12, 15, 16, 17]"
EID73,"[18, 2, 3, 4, 7, 11, 12, 14, 15, 16, 17]"
EID74,"[18, 2, 4, 7, 13, 15, 16]"
EID75,"[18, 2, 3, 4, 7, 11, 12, 14, 15, 16, 17]"
EID76,"[18, 2, 3, 4, 7, 13, 14, 15, 16, 17]"
EID77,"[18, 2, 3, 4, 7, 11, 12, 14, 15, 16, 17]"
EID78,"[18, 1, 2, 3, 4, 7, 11, 14, 15, 16, 17]"
EID79,"[18, 2, 3, 4, 7, 11, 12, 14, 15, 16, 17]"
